epsilon,delta,algorithm,avg_time_s
5000,5000,Apriori,1.9308080635964873
5000,5000,BruteForce,7.04410566141208
5000,5000,FPGrowth,1.3526390679180622
5000,5000,MultiProcessing,6.072116881608963
5000,5000,RW,1.947612623870373
5000,10000,Apriori,0.4325165810684363
5000,10000,BruteForce,1.9201110874613125
5000,10000,FPGrowth,0.8407465405762196
5000,10000,MultiProcessing,2.1891031252841153
5000,10000,RW,0.400616321961085
5000,15000,Apriori,0.6927796428402265
5000,15000,BruteForce,1.6803134170671299
5000,15000,FPGrowth,1.0553221528728802
5000,15000,MultiProcessing,1.0191005878150463
5000,15000,RW,0.5152058119575182
5000,20000,Apriori,0.6429420635104179
5000,20000,BruteForce,1.3059471795956297
5000,20000,FPGrowth,0.8612480474015077
5000,20000,MultiProcessing,0.7411495049794515
5000,20000,RW,0.40399140268564226
10000,5000,Apriori,2.204858905325333
10000,5000,BruteForce,7.256286220004161
10000,5000,FPGrowth,1.9265310540795326
10000,5000,MultiProcessing,8.46506315842271
10000,5000,RW,2.459414590150118
10000,10000,Apriori,0.7647007765869299
10000,10000,BruteForce,2.260561036566893
10000,10000,FPGrowth,1.592175714671612
10000,10000,MultiProcessing,2.880418784916401
10000,10000,RW,1.2544407094518344
10000,15000,Apriori,1.1350869809587798
10000,15000,BruteForce,2.2022945446272693
10000,15000,FPGrowth,1.3976958356797695
10000,15000,MultiProcessing,1.1807920883099239
10000,15000,RW,0.9184547940889994
10000,20000,Apriori,0.565348394215107
10000,20000,BruteForce,1.278980152060588
10000,20000,FPGrowth,0.7761433025201162
10000,20000,MultiProcessing,0.6885697394609451
10000,20000,RW,0.4213551824291547
15000,5000,Apriori,2.9156823915739856
15000,5000,BruteForce,8.155296924213568
15000,5000,FPGrowth,7.461342209329207
15000,5000,MultiProcessing,9.57696940129002
15000,5000,RW,3.8086349723239743
15000,10000,Apriori,1.9807776709397633
15000,10000,BruteForce,3.8294524426261582
15000,10000,FPGrowth,2.732288115968307
15000,10000,MultiProcessing,3.446721713989973
15000,10000,RW,2.472588888555765
15000,15000,Apriori,1.1669005167980988
15000,15000,BruteForce,2.296570599079132
15000,15000,FPGrowth,1.3621712513267992
15000,15000,MultiProcessing,1.1613834189871948
15000,15000,RW,0.9292885820070903
15000,20000,Apriori,0.5942201241850853
15000,20000,BruteForce,1.304205060005188
15000,20000,FPGrowth,0.7803969842692217
15000,20000,MultiProcessing,0.6701579901079336
15000,20000,RW,0.39556333248813946
20000,5000,Apriori,5.138433448970318
20000,5000,BruteForce,10.775835568706194
20000,5000,FPGrowth,7.578625726203124
20000,5000,MultiProcessing,9.67345517873764
20000,5000,RW,4.029142955690622
20000,10000,Apriori,2.0063556022942066
20000,10000,BruteForce,3.7616490547855697
20000,10000,FPGrowth,2.752861376851797
20000,10000,MultiProcessing,3.408011209219694
20000,10000,RW,2.6574718760947387
20000,15000,Apriori,1.1868464027841887
20000,15000,BruteForce,2.1663901085654893
20000,15000,FPGrowth,1.3498279340565205
20000,15000,MultiProcessing,1.1903355953594048
20000,15000,RW,0.946383169790109
20000,20000,Apriori,0.594812698662281
20000,20000,BruteForce,1.3472151545186837
20000,20000,FPGrowth,0.7801442543665568
20000,20000,MultiProcessing,0.6741164152820905
20000,20000,RW,0.3695530335108439
25000,5000,Apriori,7.689102730403344
25000,5000,BruteForce,13.837142830093702
25000,5000,FPGrowth,8.336777397741875
25000,5000,MultiProcessing,9.749531000852583
25000,5000,RW,5.145844394465287
25000,10000,Apriori,2.4461920373141766
25000,10000,BruteForce,4.188778812686603
25000,10000,FPGrowth,2.7930883206427097
25000,10000,MultiProcessing,3.4645705136160054
25000,10000,RW,2.790218709409237
25000,15000,Apriori,1.2171868719160557
25000,15000,BruteForce,2.172573776294788
25000,15000,FPGrowth,1.361420380572478
25000,15000,MultiProcessing,1.1994043265779812
25000,15000,RW,0.9290806541840235
25000,20000,Apriori,0.5956597638626894
25000,20000,BruteForce,1.3199455191691716
25000,20000,FPGrowth,0.7777528241276741
25000,20000,MultiProcessing,0.6427954696118832
25000,20000,RW,0.40109646568695706
30000,5000,Apriori,8.238255144407352
30000,5000,BruteForce,14.209518848607937
30000,5000,FPGrowth,8.608935734877983
30000,5000,MultiProcessing,9.828952408085268
30000,5000,RW,6.787559087822833
30000,10000,Apriori,3.3960955217480664
30000,10000,BruteForce,5.325196610142787
30000,10000,FPGrowth,3.68618468567729
30000,10000,MultiProcessing,3.4477446948488555
30000,10000,RW,2.821538528551658
30000,15000,Apriori,1.1519746879736583
30000,15000,BruteForce,2.1701221068700156
30000,15000,FPGrowth,1.343667522072792
30000,15000,MultiProcessing,1.1999758034944534
30000,15000,RW,0.9545373760163784
30000,20000,Apriori,0.5926437489688396
30000,20000,BruteForce,1.2708802744746206
