Hobby,Country,Student,FormalEducation,UndergradMajor,DevType,YearsCoding,HoursComputer,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Dependents,Continent,Age,ConvertedSalary,HDI,GDP,GINI
1,2,1,1,3,5,2,1,3,1,1,7,1,2,2,3,125000,1,2,2
1,14,1,1,2,2,3,2,3,1,1,8,1,2,2,3,72469,1,1,1
2,9,1,0,1,2,8,1,2,1,1,9,1,2,1,3,39648,1,1,1
1,1,1,1,2,10,3,2,3,1,1,2,1,1,1,3,62507,1,1,1
1,15,3,0,2,2,2,2,3,1,1,9,1,2,1,3,29373,1,1,1
2,14,1,1,2,5,6,1,4,1,1,7,1,1,2,1,74482,1,1,1
1,2,1,1,2,2,6,1,4,1,1,7,1,2,2,1,1080000,1,2,2
1,1,3,1,2,11,8,2,4,1,1,3,1,1,1,3,90288,1,1,1
1,9,1,1,2,2,5,2,3,1,1,1,2,1,1,3,122388,1,1,1
1,9,2,0,2,7,3,2,3,1,1,2,1,2,1,3,11748,1,1,1
2,2,1,0,2,2,1,2,3,1,1,9,1,2,2,5,100000,1,2,2
1,2,1,1,1,2,2,1,4,1,1,2,2,1,2,1,60000,1,2,2
1,16,1,1,3,3,7,2,3,4,1,7,1,2,1,1,10440,3,3,2
2,5,1,1,2,2,2,1,4,1,1,1,1,1,3,3,61580,1,1,1
1,6,1,1,3,9,7,3,2,1,1,1,3,2,4,3,26612,2,3,2
1,6,1,1,2,4,7,2,1,1,1,1,3,2,4,3,18780,2,3,2
1,1,2,0,1,2,4,1,2,1,1,3,1,2,1,2,23440,1,1,1
1,11,1,0,2,2,9,2,4,1,1,4,1,2,1,1,42836,1,1,1
1,6,1,1,2,3,7,2,3,4,1,8,1,1,4,3,3569,2,3,2
1,2,1,1,3,2,3,1,2,1,1,3,1,1,2,1,1140000,1,2,2
1,6,2,1,2,2,7,2,2,1,1,2,3,1,4,3,1879,2,3,2
1,9,1,0,2,2,8,2,3,1,1,5,1,2,1,2,79552,1,1,1
2,6,1,1,2,12,5,2,4,4,1,1,3,1,4,3,46963,2,3,2
1,6,2,1,2,2,5,3,4,1,1,3,3,2,4,3,8140,2,3,2
1,2,2,1,2,2,5,2,3,1,1,1,1,1,2,3,81000,1,2,2
1,7,1,1,3,2,7,2,2,1,1,3,1,1,1,3,33528,2,3,1
1,2,1,1,1,6,7,2,3,4,2,4,1,2,2,3,65000,1,2,2
1,13,1,1,2,2,3,2,2,1,1,1,2,2,5,3,21708,3,3,2
1,9,1,0,2,2,5,2,2,1,1,8,1,2,1,3,58746,1,1,1
2,1,1,1,2,2,8,1,4,1,1,4,1,2,1,3,52783,1,1,1
2,8,1,0,2,4,4,2,3,1,1,4,2,2,1,2,8496,2,3,2
