treatment_col,treatment_value,epsilon,delta_percent,found,found_filters,found_size,found_ate,candidates_enumerated,candidates_evaluated,runtime_seconds
Student,1,500.0,0.5,True,"{'Hobby': 1, 'Gender': 1, 'HDI': 1}",22857.0,18266.877780164134,81,33,3.5814621669996995
Student,1,500.0,0.6,True,"{'Hobby': 1, 'SexualOrientation': 1}",28907.0,19380.72164620823,33,8,1.239664749999065
Student,1,500.0,0.7,True,{'RaceEthnicity': 1},29558.0,20444.94367526947,15,6,0.8142788750010368
Student,1,500.0,0.8,True,{'SexualOrientation': 1},35377.0,18532.025317755848,4,1,0.24541704199873493
Student,1,1000.0,0.5,True,"{'Hobby': 1, 'HDI': 1}",24545.0,18438.736878430635,81,24,2.9309340410000004
Student,1,1000.0,0.6,True,"{'Hobby': 1, 'SexualOrientation': 1}",28907.0,19380.72164620823,33,8,1.2355647089971171
Student,1,1000.0,0.7,True,{'Hobby': 1},31125.0,20203.68721091759,15,4,0.6588555419984914
Student,1,1000.0,0.8,True,{'SexualOrientation': 1},35377.0,18532.025317755848,4,1,0.23383516700050677
Student,1,5000.0,0.5,True,"{'Gender': 1, 'SexualOrientation': 1}",33330.0,18533.05687391018,81,3,2.030698583999765
Student,1,5000.0,0.6,True,{'SexualOrientation': 1},35377.0,18532.025317755848,33,1,0.7337441250019765
Student,1,5000.0,0.7,True,{'SexualOrientation': 1},35377.0,18532.025317755848,15,1,0.5895247500011465
Student,1,5000.0,0.8,True,{'SexualOrientation': 1},35377.0,18532.025317755848,4,1,0.2503655419968709
Student,1,10000.0,0.5,True,"{'Gender': 1, 'SexualOrientation': 1}",33330.0,18533.05687391018,81,3,1.8221472920013184
Student,1,10000.0,0.6,True,{'SexualOrientation': 1},35377.0,18532.025317755848,33,1,0.7913241669994022
Student,1,10000.0,0.7,True,{'SexualOrientation': 1},35377.0,18532.025317755848,15,1,0.44775983300132793
Student,1,10000.0,0.8,True,{'SexualOrientation': 1},35377.0,18532.025317755848,4,1,0.2733822500013048
FormalEducation,1,100.0,0.5,True,"{'Hobby': 1, 'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",22803.0,4649.116646334953,97,44,4.497877875000995
FormalEducation,1,100.0,0.6,True,"{'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",27878.0,4464.098868933243,42,12,1.8073174170021957
FormalEducation,1,100.0,0.7,True,{'RaceEthnicity': 1},29558.0,6341.8760350535285,18,8,1.0821918750007171
FormalEducation,1,100.0,0.8,True,{'Gender': 1},35200.0,5973.994715868237,5,2,0.3537295419992006
FormalEducation,1,500.0,0.5,True,"{'Hobby': 1, 'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",22803.0,4649.116646334953,97,44,5.13405425000019
FormalEducation,1,500.0,0.6,True,"{'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",27878.0,4464.098868933243,42,12,1.6897424589988077
FormalEducation,1,500.0,0.7,True,{'Student': 1},31785.0,4417.969400059144,18,4,0.7912539579992881
FormalEducation,1,500.0,0.8,True,{'SexualOrientation': 1},35377.0,6071.864686259821,5,1,0.2889785419974942
FormalEducation,1,1000.0,0.5,True,"{'Student': 1, 'HDI': 1}",25713.0,2232.885446495784,97,25,4.080569833000482
FormalEducation,1,1000.0,0.6,True,"{'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",27878.0,4464.098868933243,42,12,1.9004352089978056
FormalEducation,1,1000.0,0.7,True,{'Student': 1},31785.0,4417.969400059144,18,4,0.818273875000159
FormalEducation,1,1000.0,0.8,True,{'SexualOrientation': 1},35377.0,6071.864686259821,5,1,0.2771854169986909
FormalEducation,1,5000.0,0.5,True,{'SexualOrientation': 1},35377.0,6071.864686259821,97,1,1.5682221250026487
FormalEducation,1,5000.0,0.6,True,{'SexualOrientation': 1},35377.0,6071.864686259821,42,1,0.9533751669987396
FormalEducation,1,5000.0,0.7,True,{'SexualOrientation': 1},35377.0,6071.864686259821,18,1,0.640798458000063
FormalEducation,1,5000.0,0.8,True,{'SexualOrientation': 1},35377.0,6071.864686259821,5,1,0.29709420799918007
FormalEducation,1,10000.0,0.5,True,{'SexualOrientation': 1},35377.0,6071.864686259821,97,1,1.701899791998585
FormalEducation,1,10000.0,0.6,True,{'SexualOrientation': 1},35377.0,6071.864686259821,42,1,0.8798245840007439
FormalEducation,1,10000.0,0.7,True,{'SexualOrientation': 1},35377.0,6071.864686259821,18,1,0.5594215830024041
FormalEducation,1,10000.0,0.8,True,{'SexualOrientation': 1},35377.0,6071.864686259821,5,1,0.2523027080023894
UndergradMajor,1,100.0,0.5,True,"{'Gender': 1, 'SexualOrientation': 1, 'Dependents': 2}",22610.0,2020.0302841076114,97,47,4.656042750000779
UndergradMajor,1,100.0,0.6,True,"{'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",27878.0,224.7448284166145,43,12,1.5549522500004969
UndergradMajor,1,100.0,0.7,True,"{'Hobby': 1, 'SexualOrientation': 1}",28907.0,1168.9397724774099,18,11,1.372508459000528
UndergradMajor,1,100.0,0.8,True,{'SexualOrientation': 1},35377.0,1353.7647295469365,5,1,0.25420512500204495
UndergradMajor,1,500.0,0.5,True,"{'Gender': 1, 'SexualOrientation': 1, 'Dependents': 2}",22610.0,2020.0302841076114,97,47,6.550273000000743
UndergradMajor,1,500.0,0.6,True,"{'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",27878.0,224.7448284166145,43,12,1.72440458300116
UndergradMajor,1,500.0,0.7,True,{'Hobby': 1},31125.0,826.9395477922683,18,5,0.9700727500021458
UndergradMajor,1,500.0,0.8,True,{'SexualOrientation': 1},35377.0,1353.7647295469365,5,1,0.2508364999994228
UndergradMajor,1,1000.0,0.5,True,"{'SexualOrientation': 1, 'Dependents': 2}",24210.0,1733.4846314770296,97,30,6.347705833002692
UndergradMajor,1,1000.0,0.6,True,"{'Student': 1, 'Gender': 1, 'SexualOrientation': 1}",27878.0,224.7448284166145,43,12,2.1001867090017186
UndergradMajor,1,1000.0,0.7,True,{'Hobby': 1},31125.0,826.9395477922683,18,5,1.257071125000948
UndergradMajor,1,1000.0,0.8,True,{'SexualOrientation': 1},35377.0,1353.7647295469365,5,1,0.29248275000281865
UndergradMajor,1,5000.0,0.5,True,{'SexualOrientation': 1},35377.0,1353.7647295469365,97,1,1.953171041997848
UndergradMajor,1,5000.0,0.6,True,{'SexualOrientation': 1},35377.0,1353.7647295469365,43,1,0.9134542920000968
UndergradMajor,1,5000.0,0.7,True,{'SexualOrientation': 1},35377.0,1353.7647295469365,18,1,0.5485636660014279
UndergradMajor,1,5000.0,0.8,True,{'SexualOrientation': 1},35377.0,1353.7647295469365,5,1,0.27788979099932476
UndergradMajor,1,10000.0,0.5,True,{'SexualOrientation': 1},35377.0,1353.7647295469365,97,1,1.5569532499976049
UndergradMajor,1,10000.0,0.6,True,{'SexualOrientation': 1},35377.0,1353.7647295469365,43,1,1.0835323329993116
UndergradMajor,1,10000.0,0.7,True,{'SexualOrientation': 1},35377.0,1353.7647295469365,18,1,0.49937362499986193
UndergradMajor,1,10000.0,0.8,True,{'SexualOrientation': 1},35377.0,1353.7647295469365,5,1,0.2592970420009806
DevType,1,100.0,0.5,False,,,,113,113,21.817320834001293
DevType,1,100.0,0.6,False,,,,46,46,6.367492917001073
DevType,1,100.0,0.7,False,,,,19,19,2.341466833000595
DevType,1,100.0,0.8,False,,,,5,5,0.6402777500006778
DevType,1,500.0,0.5,False,,,,113,113,21.878940583999793
DevType,1,500.0,0.6,False,,,,46,46,6.236726666997129
DevType,1,500.0,0.7,False,,,,19,19,2.2411445830002776
DevType,1,500.0,0.8,False,,,,5,5,0.6398368750014924
DevType,1,1000.0,0.5,False,,,,113,113,21.576289707998512
DevType,1,1000.0,0.6,False,,,,46,46,6.1881707920001645
