Hobby,Country,Student,FormalEducation,UndergradMajor,DevType,YearsCoding,HoursComputer,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Continent,Age,ConvertedSalary,HDI,GDP,GINI,TempTreatment
1,1,1,1,5,9,2,2,2,1,1,4,1,1,2,47227,1,1,1,0
1,8,1,5,9,3,4,4,2,1,1,2,1,1,1,20808,2,3,2,0
1,15,1,1,1,4,4,1,1,1,1,4,1,1,2,29373,1,1,1,0
2,8,1,4,1,2,4,1,3,1,3,2,1,1,2,33972,2,3,2,0
1,2,2,2,4,10,4,3,4,2,1,2,1,2,1,2000000,1,2,2,0
1,2,1,4,7,11,2,1,2,1,1,6,1,2,2,140000,1,2,2,0
1,2,1,1,1,1,1,1,2,1,1,2,1,2,2,59500,1,2,2,0
1,17,1,5,1,1,4,1,1,1,1,2,4,3,2,56172,1,1,2,0
1,4,1,1,1,2,4,1,3,1,1,4,3,3,1,2820,2,3,2,0
1,1,1,4,1,1,1,1,4,1,1,2,1,1,2,51394,1,1,1,0
1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,62507,1,1,1,0
1,3,2,1,1,1,2,2,2,1,1,2,1,1,2,40392,1,1,3,0
1,8,1,4,1,1,2,1,3,1,1,2,1,1,2,42456,2,3,2,0
2,2,1,1,4,1,4,3,1,1,1,2,1,2,2,72500,1,2,2,0
1,1,1,1,1,1,5,2,1,1,1,4,1,1,2,65285,1,1,1,0
1,2,1,1,10,4,6,1,2,2,1,4,1,2,2,75000,1,2,2,0
1,2,1,4,1,9,9,3,4,1,1,4,6,2,5,70000,1,2,2,0
2,6,1,6,9,12,4,2,1,1,1,6,1,1,2,37940,1,1,1,0
1,2,1,1,1,1,2,1,2,1,1,8,1,2,2,25000,1,2,2,0
2,2,1,1,8,4,3,3,1,1,1,1,1,2,1,32000,1,2,2,0
1,4,1,1,1,1,3,1,4,1,1,4,1,3,1,3757,2,3,2,0
1,1,1,4,9,1,11,1,2,1,4,4,1,1,2,75504,1,1,1,0
1,9,1,1,1,1,1,2,3,1,1,8,4,1,1,52404,1,1,3,0
1,13,1,1,1,1,4,1,1,1,1,1,1,5,2,187152,3,3,2,0
1,7,2,4,1,8,1,1,1,1,1,2,1,1,2,52872,1,1,1,0
2,1,1,1,1,1,8,1,4,1,1,4,2,1,3,126403,1,1,1,0
2,1,1,1,1,3,5,1,1,1,1,3,1,1,2,55562,1,1,1,0
1,2,1,1,1,4,2,1,1,1,1,4,1,2,2,125000,1,2,2,0
1,6,1,2,1,7,2,3,1,1,1,8,6,1,2,36716,1,1,1,0
2,15,1,4,1,1,1,3,3,1,1,7,6,1,2,10572,1,1,1,0
2,2,1,1,7,1,1,3,2,2,1,5,2,2,1,127000,1,2,2,0
1,2,1,1,1,1,4,1,3,1,1,3,1,2,1,47000,1,2,2,0
1,4,1,1,1,1,1,1,2,1,1,9,2,3,1,11741,2,3,2,0
1,2,2,5,1,3,2,3,4,1,1,4,1,2,1,10000,1,2,2,0
2,2,1,1,1,9,2,2,1,1,1,3,1,2,2,90000,1,2,2,0
1,2,1,4,1,1,5,3,2,1,1,4,1,2,3,96000,1,2,2,0
2,14,1,1,7,1,5,1,4,1,1,4,6,2,2,48313,1,1,1,0
1,2,1,1,1,1,6,1,2,1,1,2,1,2,2,94600,1,2,2,0
1,17,1,1,1,1,1,1,4,1,1,3,4,3,2,87768,1,1,2,0
1,1,1,4,8,1,1,1,2,1,1,4,1,1,2,62507,1,1,1,0
1,7,2,3,1,3,2,3,1,1,1,1,1,1,1,22032,1,1,1,0
1,2,1,1,1,1,1,1,1,1,3,4,1,2,1,105000,1,2,2,0
1,2,1,7,4,1,1,1,4,1,1,4,3,2,2,80000,1,2,2,0
2,6,1,7,8,8,2,1,4,1,1,4,4,1,2,36720,1,1,1,0
1,6,3,4,1,1,4,1,4,1,1,2,1,1,1,19092,1,1,1,0
2,1,1,1,1,1,4,1,1,1,1,4,1,1,1,34726,1,1,1,0
1,2,1,1,1,1,6,1,2,1,1,4,1,2,2,106000,1,2,2,0
1,1,1,1,1,1,2,3,1,1,1,4,1,1,2,86120,1,1,1,0
1,4,1,1,1,1,1,1,1,2,4,8,2,3,1,4745,2,3,2,0
1,2,1,1,2,13,4,2,4,2,1,4,1,2,2,2000000,1,2,2,0
1,13,1,1,1,14,8,1,4,1,1,8,1,5,3,52404,3,3,2,1
1,4,2,1,1,3,4,2,2,1,1,1,3,3,1,1884,2,3,2,0
1,18,1,1,7,1,1,1,2,1,1,2,1,1,2,587460,1,1,3,0
1,14,1,1,1,1,1,3,2,1,1,2,2,2,1,57170,1,1,1,0
2,3,1,4,1,1,1,1,4,1,1,2,4,1,1,44064,1,1,3,0
1,3,1,1,1,6,2,3,3,1,1,4,1,1,2,51408,1,1,3,0
1,18,1,2,1,1,4,1,4,1,1,2,1,1,2,30840,1,1,3,0
1,6,1,4,1,3,1,1,3,1,1,1,1,1,2,41612,1,1,1,0
1,2,1,1,7,9,6,2,2,1,1,4,1,2,2,55000,1,2,2,0
1,2,1,1,7,1,2,1,1,1,1,3,1,2,2,75000,1,2,2,0
1,14,2,5,1,1,6,1,2,1,1,4,1,2,2,60391,1,1,1,0
1,3,1,2,1,1,4,2,2,1,1,2,1,1,2,41124,1,1,3,0
2,2,1,1,1,1,2,3,3,1,1,4,1,2,2,70000,1,2,2,0
2,4,1,1,4,7,4,3,4,1,1,4,3,3,2,5479,2,3,2,0
1,2,1,1,1,4,2,1,1,1,1,3,1,2,1,58000,1,2,2,0
1,2,1,7,1,1,6,1,3,1,1,1,1,2,2,280000,1,2,2,0
1,1,1,1,1,12,7,1,4,2,1,1,5,1,4,106956,1,1,1,0
1,2,1,4,7,11,4,3,1,1,1,2,1,2,2,53000,1,2,2,0
1,2,1,4,1,1,8,2,2,1,3,8,1,2,3,162100,1,2,2,0
1,2,1,1,7,1,1,1,4,1,1,1,1,2,2,68000,1,2,2,0
1,2,1,1,1,2,2,1,4,2,1,4,1,2,1,75000,1,2,2,0
1,2,1,3,1,3,2,1,2,2,2,2,1,2,1,684000,1,2,2,0
1,14,1,1,1,1,1,1,3,1,1,8,1,2,1,53144,1,1,1,0
1,6,1,1,3,1,2,2,2,1,1,1,6,1,1,36720,1,1,1,0
1,2,3,1,11,3,4,3,3,1,1,4,2,2,2,80000,1,2,2,0
2,14,1,1,2,13,4,3,4,1,2,8,1,2,1,45897,1,1,1,0
1,4,1,4,1,1,6,1,2,1,1,2,3,3,2,12524,2,3,2,0
1,4,2,1,1,2,4,1,4,1,1,4,3,3,2,3914,2,3,2,0
1,1,1,1,4,1,1,1,2,1,1,4,1,1,2,69452,1,1,1,0
1,14,1,1,8,1,1,1,2,1,1,6,3,2,1,96626,1,1,1,0
2,12,1,4,1,2,6,3,4,1,1,2,1,4,2,199950,1,1,1,0
1,15,1,2,1,1,5,1,2,1,1,8,3,1,2,34269,1,1,1,0
2,3,1,4,1,1,5,3,2,1,1,2,1,1,2,60216,1,1,3,0
1,7,1,2,1,2,1,1,1,1,1,2,1,1,3,73433,1,1,1,0
1,1,1,1,1,8,2,1,4,1,1,4,1,1,1,40282,1,1,1,0
1,12,1,1,1,1,2,3,3,1,1,4,1,4,2,63979,1,1,1,0
1,13,3,3,7,1,3,1,3,1,1,2,1,5,1,1872,3,3,2,0
1,6,1,6,1,1,11,1,4,1,1,6,1,1,3,66084,1,1,1,0
2,2,1,1,10,7,4,3,2,1,1,6,1,2,2,2000000,1,2,2,0
1,7,1,2,1,1,4,1,2,1,1,4,1,1,1,40392,1,1,1,0
1,2,1,1,1,1,2,3,1,1,1,2,1,2,2,2000000,1,2,2,0
1,4,2,4,12,1,3,1,2,2,1,2,1,3,1,1500,2,3,2,0
2,4,1,4,1,1,5,1,2,1,1,4,1,3,3,36005,2,3,2,0
2,14,1,5,1,12,11,3,2,1,1,4,1,2,4,80521,1,1,1,0
1,2,1,1,1,1,2,1,2,1,1,4,1,2,2,80000,1,2,2,0
1,7,1,4,1,1,7,1,2,1,1,1,1,1,3,171343,1,1,1,0
2,6,3,1,1,3,4,2,1,1,1,2,3,1,1,23496,1,1,1,0
1,13,1,4,1,1,2,3,1,1,1,1,6,5,2,27696,3,3,2,0
1,4,1,1,7,1,1,1,3,1,1,4,1,3,2,9396,2,3,2,0
1,4,1,4,1,1,3,3,2,2,1,1,1,3,2,936,2,3,2,0
1,2,1,4,9,1,8,1,2,1,1,8,1,2,4,110000,1,2,2,0
1,4,1,1,1,1,1,2,2,1,1,4,3,3,1,7608,2,3,2,0
2,2,1,1,6,4,7,3,3,1,1,3,1,2,4,105000,1,2,2,0
1,19,1,7,8,3,7,3,1,1,1,2,1,1,2,104269,1,1,3,0
1,4,1,1,1,1,4,1,3,1,1,7,1,3,2,11647,2,3,2,0
1,7,1,1,7,1,1,1,3,1,1,8,1,1,2,46992,1,1,1,0
1,7,2,3,1,1,1,1,2,1,1,1,1,1,1,19092,1,1,1,0
2,2,1,1,1,12,4,2,2,1,1,8,1,2,2,55000,1,2,2,0
1,4,1,1,7,1,2,1,2,1,1,4,1,3,3,6384,2,3,2,0
1,2,1,1,1,2,2,3,3,1,3,2,1,2,2,150150,1,2,2,0
1,4,1,4,1,1,1,3,3,1,1,4,1,3,2,9396,2,3,2,0
1,2,1,1,5,1,3,3,2,1,1,4,1,2,2,63000,1,2,2,0
1,6,1,4,9,8,1,1,1,1,1,8,1,1,1,41612,1,1,1,0
1,1,1,1,1,1,2,1,1,2,2,6,1,1,2,84731,1,1,1,0
1,12,1,1,7,1,8,2,3,1,1,2,1,4,2,79973,1,1,1,0
1,20,2,4,1,1,2,1,1,1,1,2,1,1,2,49932,1,1,3,0
2,4,1,4,7,1,1,1,4,1,1,4,1,3,2,32874,2,3,2,0
2,6,2,4,1,1,6,1,4,1,1,4,1,1,1,79552,1,1,1,0
1,4,2,1,1,1,4,1,1,1,1,2,3,3,1,1884,2,3,2,0
1,7,1,4,1,1,2,2,2,1,1,1,1,1,2,61194,1,1,1,0
2,1,1,1,7,1,5,1,4,1,2,4,1,1,3,104178,1,1,1,0
1,5,1,4,1,1,1,1,4,1,1,2,1,1,2,10584,2,3,1,0
1,1,1,4,1,1,2,3,3,1,1,7,3,1,2,61118,1,1,1,0
1,2,1,1,1,12,1,2,2,1,1,2,1,2,2,175000,1,2,2,0
1,2,1,1,1,4,1,3,1,1,1,3,6,2,2,58000,1,2,2,0
1,2,2,2,1,13,3,3,4,1,1,8,1,2,1,30000,1,2,2,0
1,18,2,1,1,11,1,2,2,1,1,4,1,1,1,30840,1,1,3,0
1,2,1,1,1,1,5,2,4,1,1,2,1,2,2,125000,1,2,2,0
1,14,1,5,1,1,11,1,4,1,1,3,3,2,3,108704,1,1,1,0
1,10,2,3,4,1,1,2,3,1,1,1,1,1,1,25400,1,1,1,0
1,2,1,1,1,1,9,1,2,1,1,2,1,2,5,142000,1,2,2,0
1,13,1,1,4,5,6,3,1,1,1,5,6,5,2,29940,3,3,2,0
1,7,2,8,1,1,4,3,2,1,1,1,1,1,2,17628,1,1,1,0
