Mode,Delta,Epsilon,Homogeneous,Runtime
direct,20000,3000,True,0.4600830078125
direct,20000,3500,True,0.721121072769165
direct,20000,5000,True,0.7245030403137207
direct,20000,5500,True,0.5340399742126465
direct,20000,60000,True,0.5793139934539795
direct,20000,65000,True,0.7278809547424316
direct,15000,3000,True,1.0040650367736816
direct,15000,3500,True,0.983928918838501
direct,15000,5000,True,1.295769214630127
direct,15000,5500,True,0.8451178073883057
direct,15000,60000,True,1.1877961158752441
direct,15000,65000,True,0.8136732578277588
direct,10000,3000,True,8.057496070861816
direct,10000,3500,False,6.084303855895996
direct,10000,5000,True,5.756521224975586
direct,10000,5500,True,8.79742169380188
direct,10000,60000,True,8.892029285430908
direct,10000,65000,True,10.015403985977173
direct,5000,3000,False,6.558353900909424
direct,5000,3500,True,5.210596084594727
direct,5000,5000,False,7.984487771987915
direct,5000,5500,True,6.868726015090942
direct,5000,60000,True,11.92691707611084
direct,5000,65000,False,6.533821105957031
