Mode,Delta,Epsilon,Homogeneous,Runtime
direct,20000,3000,False,0.5859811305999756
direct,20000,3500,False,0.3013901710510254
direct,20000,5000,True,0.7420730590820312
direct,20000,5500,True,0.7247600555419922
direct,20000,60000,True,0.6880629062652588
direct,20000,65000,True,0.7302758693695068
direct,15000,3000,False,0.38351988792419434
direct,15000,3500,False,0.44300007820129395
direct,15000,5000,True,0.9125711917877197
direct,15000,5500,True,1.097153902053833
direct,15000,60000,True,0.6636500358581543
direct,15000,65000,True,1.1233201026916504
direct,10000,3000,False,3.887463092803955
direct,10000,3500,False,4.607187032699585
direct,10000,5000,False,9.27256989479065
direct,10000,5500,False,7.901514053344727
direct,10000,60000,True,4.85129714012146
direct,10000,65000,True,6.375305891036987
direct,5000,3000,False,4.646417856216431
direct,5000,3500,False,3.167785167694092
direct,5000,5000,False,4.0935869216918945
direct,5000,5500,False,10.1178879737854
direct,5000,60000,True,6.910433769226074
direct,5000,65000,True,7.298332929611206
